철도운영기관명,선명,역명,환승철도운영기관,환승선명,환승이후역명,환승기점역명,차량순서,차량출입문번호
인천교통공사,인천1호선,계양,공항철도,공항,김포공항,서울역,3,3
인천교통공사,인천1호선,계양,공항철도,공항,검암,인천국제공항,3,3
인천교통공사,인천1호선,부평,코레일,1호선,백운,신창(순천향대),5,1
인천교통공사,인천1호선,부평,코레일,1호선,백운,신창(순천향대),4,4
인천교통공사,인천1호선,부평,코레일,1호선,부개,소요산,4,4
인천교통공사,인천1호선,부평,코레일,1호선,부개,소요산,5,1
인천교통공사,인천1호선,부평구청,서울교통공사,7호선,굴포천,장암,1,1
인천교통공사,인천1호선,부평구청,서울교통공사,7호선,굴포천,장암,8,4
인천교통공사,인천1호선,원인재,코레일,수인,연수,송도,2,3
인천교통공사,인천1호선,원인재,코레일,수인,남동인더스파크,오이도,7,2
인천교통공사,인천1호선,원인재,코레일,수인,연수,송도,7,2
인천교통공사,인천1호선,원인재,코레일,수인,남동인더스파크,오이도,2,3
인천교통공사,인천1호선,인천시청,인천교통공사,인천2호선,석바위시장,검단오류,1,1
인천교통공사,인천1호선,인천시청,인천교통공사,인천2호선,석천사거리,운연,1,1
인천교통공사,인천1호선,인천시청,인천교통공사,인천2호선,석천사거리,검단오류,8,4
인천교통공사,인천1호선,인천시청,인천교통공사,인천2호선,석바위시장,운연,8,4
인천교통공사,인천2호선,검암,공항철도,공항,청라국제도시,인천국제공항,6,4
인천교통공사,인천2호선,검암,공항철도,공항,계양,서울역,2,2
인천교통공사,인천2호선,검암,공항철도,공항,청라국제도시,인천국제공항,2,2
인천교통공사,인천2호선,검암,공항철도,공항,계양,서울역,6,4
인천교통공사,인천2호선,인천시청,인천교통공사,인천1호선,간석오거리,계양,2,3
인천교통공사,인천2호선,인천시청,인천교통공사,인천1호선,예술회관,계양,2,3
인천교통공사,인천2호선,인천시청,인천교통공사,인천1호선,예술회관,국제업무지구,1,1
인천교통공사,인천2호선,인천시청,인천교통공사,인천1호선,간석오거리,국제업무지구,1,1
인천교통공사,인천2호선,주안,코레일,1호선,간석,소요산,1,1
인천교통공사,인천2호선,주안,코레일,1호선,간석,소요산,2,3
인천교통공사,인천2호선,주안,코레일,1호선,도화,인천,2,3
인천교통공사,인천2호선,주안,코레일,1호선,도화,인천,1,1
