구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2020년 기온 평균_도씨,1.8,2.5,7.1,10.4,16.7,21.8,23.2,25.9,21.3,14.8,8.3,0.2
2020년 기온 평균 최고_도씨,5,6.2,11.2,14.3,20.7,25.8,26.2,28.1,24.6,18.4,11.8,3.6
2020년 기온 최고극값_도씨,10.4,14.5,19.9,20.5,26.8,31.7,30.4,33.9,29.9,22.4,19.4,10.2
2020년 기온 평균 최저_도씨,-0.8,-0.6,3.3,7.1,13.5,18.7,20.8,24.2,18.5,11.1,5.1,-3
2020년 기온 최저극값_도씨,-5.5,-10.6,-2,3,10.6,13.9,17.4,21.8,15.3,5.2,-2.7,-11.9
2020년 평균 상대습도 (퍼센트),63,65,57,57,71,77,80,84,69,58,62,55
2020년 최소 상대습도 (퍼센트),27,20,13,12,11,34,38,47,22,18,19,19
2020년 평균 해면기압 소계(hPa),1023.5,1024.8,1017.8,1017.1,1010,1006.1,1006.4,1008,1011.8,1020.6,1024.9,1026.7
2020년 이슬점 온도 소계 (도씨),-4.9,-3.9,-1.8,1.2,10.6,17.1,19.2,22.7,15.1,6,0.8,-8
2020년 평균 운량 소계 ,5,4.6,3.8,2.9,6.6,6.1,7.5,8.1,5.7,4.1,4.2,3.5
2020년 일조시간 소계(hr),194.6,200.7,271.7,316.7,212.8,238.2,173.5,129.8,220.5,250.7,186.4,220.9
2020년 최심신적설 소계(cm),0,3.5,0,0,0,0,0,0,0,0,0,1.2
2020년 바람 평균 풍속 (미터퍼세컨드),3,3.1,3.6,3.9,2.7,2.6,2.7,3.1,3.3,2.8,3.1,3.2
2020년 바람 최대 풍속 (미터퍼세컨드),8.6,9.9,12.2,10.4,10.7,9,10.1,12,13.2,8.8,9.4,10.3
2020년 바람 최대 순간풍속 (미터퍼세컨드),13.3,14.5,19.5,16.8,17.5,14.9,16.8,21.3,21.1,13.9,15.9,14.9
