특성별(1),특성별(2),이용경험 있음_주 1회 이상,이용경험 있음_월 1회 이상,이용경험 있음_분기별 1회 이상,이용경험 있음_반기별 1회 이상,이용경험 있음_연 1회 이상,이용경험 없음_소계
군구별,중구,44.6,54.4,-,0.3,0.6,57.4
군구별,동구,75.2,19.3,0.5,1.3,3.7,58.1
군구별,미추홀구,49.1,44.3,4.2,1.2,1.2,51.6
군구별,연수구,65.5,31,1.8,0.5,1.2,38.8
군구별,남동구,80.5,12.4,2.6,0.8,3.8,64.9
군구별,부평구,69.3,18.2,4.2,1.9,6.3,55.6
군구별,계양구,64,31.3,2.4,1.5,0.8,60.5
군구별,서구,67,24.3,3,2.1,3.6,46.6
군구별,강화군,83.3,6.5,4.3,-,5.9,85.7
군구별,옹진군,55.6,25.9,7.3,1.9,9.3,86.3
성별,남자,63.8,27.9,3.8,1.6,3,56.7
성별,여자,66.6,27.3,2,1.1,2.9,52.3
연령별,13 ~ 19세,69.8,24.2,1.7,2,2.3,62
연령별,20 ~ 29세,65.7,27.7,2.1,1.4,3.1,57.1
연령별,30 ~ 39세,64.2,26.7,4,2.1,3,46.7
연령별,40 ~ 49세,67.4,26,3,1.2,2.3,42.5
연령별,50 ~ 59세,68.1,26.6,1.2,0.6,3.5,50.2
연령별,60세 이상,58.4,32.5,4.5,1.3,3.2,67.5
학력별,초졸이하,58.8,30.2,3.3,2.5,5.1,75.6
학력별,중졸,60.6,32.9,3.1,1.6,1.8,66.7
학력별,고졸,64.8,27.9,3,1.3,3,55.5
학력별,대졸이상,67.2,25.9,2.7,1.2,2.9,44.8
직업별,전문관리,70.2,23.4,2.4,1.2,2.7,42.8
직업별,사무,63.5,30.5,2.4,1.6,1.9,45.3
직업별,서비스판매,68.6,24.5,2.8,1.3,2.9,51.1
직업별,농어업,55.2,34.2,7,-,3.6,81
직업별,기능노무,58.3,32,3.5,1.1,5.1,50.8
직업별,학생,69.1,25.1,1.8,2,2.1,59.3
직업별,주부,65.3,30.9,1.7,0.6,1.5,51.5
직업별,무직/기타,63.4,26.6,4.8,1.7,3.5,69.4
월평균소득별,100만원 미만,51.2,33.3,10.1,1.9,3.5,74
월평균소득별,100~200만원 미만,63.9,24.3,2.7,1.3,7.7,62.9
월평균소득별,200~300만원 미만,67.4,24.5,3.4,1.1,3.6,57.1
월평균소득별,300~400만원 미만,70.5,23.7,2.8,1.6,1.4,54.4
월평균소득별,400~500만원 미만,63.7,30.4,2.6,1.6,1.8,49.4
월평균소득별,500~600만원 미만,64.4,30.1,1.9,1,2.6,47.3
월평균소득별,600~700만원 미만,66.9,29.7,1.3,-,2.1,41.1
월평균소득별,700만원 이상,64.5,29.3,1.3,1.9,3,42.9
주거형태별,단독주택,54,36.4,2.7,2.4,4.5,69.5
주거형태별,아파트,68.3,26.1,2.1,1.1,2.4,49
주거형태별,연립/다세대주택,60.3,27.7,5.3,2.2,4.5,61.4
주거형태별,기타,59.3,35.1,3,-,2.6,57.7
주거점유형태별,자가,67.1,26.1,2.6,1.3,2.9,53.9
주거점유형태별,전세,64.9,27.3,3.3,1.4,3.1,53.7
주거점유형태별,월세 및 기타,54.3,36.9,4.2,1.5,3.1,58.9
가구원수별,1인,55.2,31.5,8,1.9,3.3,65.2
가구원수별,2인,60.7,31.9,3.2,1.1,3.1,63.6
가구원수별,3인,67.5,25.2,2,1.7,3.5,52.9
가구원수별,4인,68.6,26.3,2.2,1.1,1.8,47.7
가구원수별,5인 이상,64.4,27.8,2.8,0.9,4.1,45.7
