정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)국제여객터미널,35051,16,1301,5,1301,11,43
(구)국제여객터미널,35052,1576,12,1573,12,3,52
(주)경동세라믹스,89146,821,22,821,22,0,28
(주)경인양행앞,42096,1126,896,1126,896,0,67
(주)경인양행앞,42097,2000,4010,2000,4010,0,200
(주)대한특수금속,39050,1216,67,1216,67,0,42
(주)두남,39135,222,53,222,53,0,9
(주)세모입구(린나이코리아),37585,1298,1849,1298,1849,0,104
(주)세모입구(린나이코리아),40893,416,747,416,747,0,38
(주)스킨이데아,89388,417,2488,417,2488,0,96
(주)스킨이데아,89389,2922,33,2922,33,0,98
(주)씨피엔텍,39133,522,3514,522,3514,0,134
(주)씨피엔텍,39134,2396,455,2396,455,0,95
(주)창원,39029,3252,2981,3252,2981,0,207
(주)창원,39030,4001,3713,4001,3713,0,257
(주)하나금속,39124,16,61,16,61,0,2
17사단.다임메가타운,40895,2037,4909,2037,4909,0,231
17사단입구,40832,12,487,9,487,3,16
2001아울렛,40154,3675,6000,3675,6000,0,322
2001아울렛,40159,31708,13645,31698,13645,10,1511
2001아울렛,40162,11060,21604,11056,21604,4,1088
2001아울렛부평점,40158,4934,4747,4934,4747,0,322
2차풍림아이원,42584,23,10722,23,10722,0,358
3단지,40736,158,1530,158,1530,0,56
3단지관리사무소,40107,1608,377,1608,377,0,66
41번구종점,42174,1807,5954,1807,5954,0,258
510번차고지,36145,972,656,972,656,0,54
540번종점,39470,3097,3967,3035,3967,62,235
6공단사거리,37577,272,2558,272,2558,0,94
6공단입구,37442,724,789,724,789,0,50
6공단입구,37443,1076,1514,1076,1514,0,86
8부두,35181,212,2052,212,2052,0,75
8부두,35182,1326,3438,1325,3438,1,158
CJ인천2공장,35591,442,3339,442,3339,0,126
CJ인천2공장,35592,2414,129,2413,129,1,84
E편한세상,42453,3414,2065,3412,2065,2,182
E편한세상,42649,1510,3721,1509,3721,1,174
E편한세상,42726,3776,1703,3775,1703,1,182
GM물류센터,40568,457,1154,457,1154,0,53
GS25편의점,36142,1061,2240,1034,2240,27,110
GS내리주유소,44130,0,11,0,11,0,0
GS내리주유소,44147,3,1,1,1,2,0
GS칼텍스,35168,625,46,623,46,2,22
GS칼텍스,35557,5,2341,5,2341,0,78
GS칼텍스,89220,98,600,98,600,0,23
GS칼텍스,89224,148,1578,148,1578,0,57
GS칼텍스주유소,39814,228,18,228,18,0,8
HD현대인프라코어,36081,659,1669,659,1669,0,77
HD현대인프라코어,36083,2327,892,2320,892,7,107
